,Unnamed: 0,Unnamed: 0.1,id,fname,lname,race,HL+A,HL+B,HL+I,HL+M,HL+O,HL+W,NL+A,NL+B,NL+I,NL+M,NL+O,NL+W,year,predRace
49,49,49,49,Kamalakar,Karlapalem,NL+A,4.3466900000000004e-07,1.1285308999999999e-08,4.1035764e-10,5.022475e-11,0.001077065,8.6961245e-06,0.61250305,0.0040579974,0.013212888999999998,4.8697125e-06,0.36835432,0.0007806855,2000,api
50,50,50,50,Jan,Bussche,NL+M,2.2394662e-16,9.0873286e-14,2.8101997e-13,3.7343000000000003e-07,0.0038274461,0.016996082,0.001469295,0.024135534,2.2358466e-07,0.7907347,0.017675515,0.14516088,2000,white
51,51,51,51,Stijn,Vansummeren,NL+M,1.9488386e-13,2.1013901e-16,1.2451727e-12,2.6148137999999998e-08,0.0009685064999999999,0.008722113,0.016222147,0.049660057,0.0245993,0.56898355,0.064069614,0.26677465,2000,white
52,52,52,52,Gottfried,Vossen,NL+W,2.2371655e-12,3.685886e-17,3.9846433e-12,2.1280019e-05,0.0015476620999999998,0.0066665225,0.0068722004,0.14156704,2.1681433e-06,0.048729386,0.060853965999999995,0.73373973,2000,white
53,53,53,53,Jan,Chomicki,NL+A,1.9168762e-11,1.6419327e-14,2.1677815e-10,1.9807342e-10,0.00012318627000000001,1.3788244e-05,0.83185095,0.001672956,1.100882e-05,2.1896876e-06,0.16151206,0.0048138374,2000,api
54,54,54,54,Jerzy,Marcinkowski,NL+M,3.6300075e-13,5.693150400000001e-10,5.096663e-10,0.00050100737,0.0070008480000000005,0.060105316,0.04451021,0.08751521,2.7225025e-05,0.31962088,0.22033311,0.2603862,2000,white
55,55,55,55,Christoph,Koch,HL+W,2.4899538e-13,2.14765e-07,8.1845564e-10,1.6546139e-08,0.053652099999999994,0.6712768,0.019477283999999997,0.008257683,6.710952e-08,3.2164756000000005e-08,0.18804756,0.059288263,2000,hispanic
56,56,56,56,Jan,Chomicki,NL+A,1.9168762e-11,1.6419327e-14,2.1677815e-10,1.9807342e-10,0.00012318627000000001,1.3788244e-05,0.83185095,0.001672956,1.100882e-05,2.1896876e-06,0.16151206,0.0048138374,2000,api
57,57,57,57,Marcelo,Arenas,HL+O,1.2248806e-11,3.4622227e-09,4.2900787e-15,0.00029886715,0.57807964,0.3462583,0.00032468484,0.00023263958999999998,5.847244799999999e-08,1.9078417999999998e-06,0.074226685,0.0005771538700000001,2000,hispanic
58,58,58,58,Leopoldo,Bertossi,HL+O,3.8111014e-10,0.021407599,3.6981433e-08,2.5006298e-07,0.42159903,0.18175633,0.0003117746,0.079023965,0.0046804883000000005,0.012843582,0.23709096,0.041286103,2000,hispanic
59,59,59,59,Jan,Chomicki,NL+A,1.9168762e-11,1.6419327e-14,2.1677815e-10,1.9807342e-10,0.00012318627000000001,1.3788244e-05,0.83185095,0.001672956,1.100882e-05,2.1896876e-06,0.16151206,0.0048138374,2000,api
60,60,60,60,Georg,Gottlob,NL+B,9.74402e-15,6.737087700000001e-07,3.9967704e-12,1.239902e-09,0.0047580055,0.007056794,0.00020986349,0.5518147,0.14748965,6.8205830000000006e-06,0.14219832,0.14646518,2000,black
61,61,61,61,Christoph,Koch,HL+W,2.4899538e-13,2.14765e-07,8.1845564e-10,1.6546139e-08,0.053652099999999994,0.6712768,0.019477283999999997,0.008257683,6.710952e-08,3.2164756000000005e-08,0.18804756,0.059288263,2000,hispanic
62,62,62,62,Jan,Chomicki,NL+A,1.9168766000000002e-11,1.6419329e-14,2.1677776e-10,1.9807268000000002e-10,0.00012318618,1.3788220000000001e-05,0.83185107,0.001672954,1.1008758499999998e-05,2.1896797e-06,0.16151194,0.0048138336,2000,api
63,63,63,63,Jerzy,Marcinkowski,NL+M,3.630016e-13,5.693185e-10,5.096675e-10,0.0005010092,0.0070008375,0.06010522,0.04451018599999999,0.08751513,2.7225115000000002e-05,0.31962162,0.22033288,0.26038593,2000,white
64,64,64,64,Jan,Chomicki,NL+A,1.9168762e-11,1.6419327e-14,2.1677815e-10,1.9807342e-10,0.00012318627000000001,1.3788244e-05,0.83185095,0.001672956,1.100882e-05,2.1896876e-06,0.16151206,0.0048138374,2000,api
65,65,65,65,Sofie,Haesevoets,NL+O,8.819256e-15,4.4408476e-15,1.7540188999999998e-14,1.6752938999999998e-06,0.0028032907,0.0026361266999999997,0.08407588,0.009249974000000001,4.2254883e-06,0.21074499,0.64039713,0.050086737,2000,white
66,66,66,66,Bart,Kuijpers,NL+O,2.8611992e-16,5.529766e-13,1.806927e-11,1.4317253e-10,0.00742455,0.0034387242,0.07017718,0.07450411,0.0013003671,7.637543000000001e-07,0.526928,0.3162263,2000,white
67,67,67,67,Peter,Revesz,NL+O,2.159884e-12,4.4605644e-10,5.464225600000001e-11,4.6659595e-12,0.012429053,0.048440818,0.008078562,0.084911086,2.6966969e-05,0.16453561,0.47018546,0.21139246,2000,white
68,68,68,68,Asuman,Dogac,NL+O,3.408068e-11,2.852936e-14,1.8982279999999997e-12,2.2886569e-08,9.5605765e-06,3.037513e-07,0.33042849999999996,0.0009435977,7.515656299999999e-06,5.352507e-08,0.66757625,0.0010342537,2000,white
