,Unnamed: 0,id,fname,lname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",year
56,56,56,Jan,Chomicki,"GreaterEuropean,EastEuropean",0.081850305,0.035882,0.0146325575,0.014794266,0.0045552645,0.30350024,0.4069702,0.062000465,0.013887297,0.019446936,0.009232633,0.025947182,0.007300732,2000
57,57,57,Marcelo,Arenas,"GreaterEuropean,WestEuropean,Hispanic",0.00015098829,0.0061988872,0.00028408668,0.00095065654,0.00068374426,0.0007489372,0.000110639245,0.004855319,0.0009834487,0.0009666979,0.95405567,0.029904742,0.00010613054,2000
58,58,58,Leopoldo,Bertossi,"GreaterEuropean,WestEuropean,Italian",0.00013605817,0.0012014623,0.00023500226,0.0013479333,0.0012410906,0.004572783,0.0021329762,0.0361649,0.0056983638,0.008914642,0.17546782,0.7618167,0.0010702237,2000
59,59,59,Jan,Chomicki,"GreaterEuropean,EastEuropean",0.081850305,0.035882,0.0146325575,0.014794266,0.0045552645,0.30350024,0.4069702,0.062000465,0.013887297,0.019446936,0.009232633,0.025947182,0.007300732,2000
60,60,60,Georg,Gottlob,"GreaterEuropean,WestEuropean,Germanic",0.0018488985,0.0059340606,0.006330367,0.0026145633,0.004853161,0.077861845,0.11094038,0.1616578,0.010280049,0.5372457,0.005455604,0.007100867,0.0678767,2000
61,61,61,Christoph,Koch,"GreaterEuropean,WestEuropean,Germanic",0.003355164,0.00051673973,0.0028224983,0.002766394,0.0006032972,0.017765194,0.18101993,0.04600656,0.004131538,0.7269638,0.0024344153,0.0025160841,0.009098381,2000
62,62,62,Jan,Chomicki,"GreaterEuropean,EastEuropean",0.0818503,0.03588199,0.014632539,0.014794247,0.0045552584,0.3035,0.40697047,0.062000427,0.01388729,0.01944692,0.009232628,0.025947168,0.0073007303,2000
63,63,63,Jerzy,Marcinkowski,"GreaterEuropean,Jewish",0.0001514275,0.0005182973,0.0012415722,0.0018438975,0.0035157285,0.011381437,0.27798173,0.651055,0.025171258,0.008439671,0.0033846416,0.013077888,0.0022374413,2000
64,64,64,Jan,Chomicki,"GreaterEuropean,EastEuropean",0.081850305,0.035882,0.0146325575,0.014794266,0.0045552645,0.30350024,0.4069702,0.062000465,0.013887297,0.019446936,0.009232633,0.025947182,0.007300732,2000
65,65,65,Sofie,Haesevoets,"GreaterAfrican,Africans",0.010224247,0.01958625,0.010762002,0.39720252,0.03625393,0.07487855,0.09223433,0.16912031,0.01678193,0.0457208,0.012850692,0.024989232,0.089395344,2000
